guid,description,typology
2bab8a19-f918-4970-ad1b-c14ae9caa98c,"Наконечник стрелы с трехгранной головкой, четко отделенной от втулки, с опущенными гранями, оканчивающимися шипом, с прямым вырезом. Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.",предметы археологии
b4365a9b-0bf2-4798-8369-429c77d55336,Накидка на подушки,прочие
38e1b47e-abcc-4501-be8d-2315825815b7,Панцирная пластина. Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
c78db9bf-b653-49a3-aaf6-ba52cfd54b05,Фотография сепия. Пещера Нидл-Рок. Пьемонт.,прочие
4fcb6fca-21d6-427d-b2b4-5e6859148051,Заклепка бронзовая.  Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
a8c495ad-5b5b-4d8a-bdc5-e3c71e323754,"Книга. Центральная полоса России К.Г.Паустовского. - Рязань, 2006. - 76с.",предметы печатной продукции
d4a521a1-4035-4252-b400-3f401eadfb3e,Заклепка бронзовая.  Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
2804f3f2-3a1e-40a1-a9c6-939cdf0a4de7,Панцирная пластина. Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
7d90ecc5-77be-40e2-a31b-d6edf85fbca2,"Предмет археологии ""Фрагмент стенки сосуда """,предметы археологии
52c91b80-4c9b-468a-bdd7-11078232e365,Тигель. Тигля керамического донца фрагмент,предметы археологии
6c420ceb-01d6-4daa-b25b-895b592345ca,Сосуд. Джанбас-Кала,предметы археологии
2a64ed8e-1d75-4933-921a-177053c58020,"Почетная грамота Туишевой Закии Хафизовне от Альметьевского горкома КПСС и исполкома городского совета народных депутатов  за долголетнюю плодотворную работу в области культуры и большой вклад в развитии народного хозяйства, г.Альметьевск декабрь 1989г.",документы
f987dddf-d7f6-448f-b27f-33f9a3230f60,"Фрагмент сосуда, гор.Замахшар",предметы археологии
edb0a73a-8cac-46eb-8f97-4e00d1bbb9bb,Веревка. Веревки из лыка фрагмент,предметы археологии
8ba48401-a8c2-4a48-96ef-a2fee57c1b52,"Наконечник стрелы трехлопастной, втульчатый. Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.",предметы археологии
4536d2f7-022c-4a6a-9411-9f0c0105e690,Фотография черно-белая. Советские солдаты направляются к Мавзолею.,фотографии и негативы
5b67c9f8-ab37-4014-9e5b-e313d1bbfc73,"Фотография черно-белая. Друзья. Из подборки фотографий с VIII областной выставки фотографий ""Край наш Владимирский"".",прочие
2eea6afd-ce4a-40ba-a57a-35c1c48c75f7,Монета. 2 копейки,предметы нумизматики
ac1c2b05-b681-430e-ab53-b6a19c0c0e39,Фотография черно-белая. Шествие к братской могиле участников битвы за Севастополь.,фотографии и негативы
a7a4078e-7eec-418e-81ab-824ff740ae39,Бусина. Гижгид могильник,предметы археологии
ed712339-16ca-4c26-bc99-b274bb0f140b,Амулеты из клыков кабана (конские?).  Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
6ce671a4-e130-47d5-98e3-49ebc1c29a3b,Линза очковая пробная вспомогательная: светофильтр нейтральный 50%. Из набора пробных очковых линз малый. Тип МНМ. 1964 г.,предметы техники
06a39454-9b04-451b-9672-919e2f1bb27b,Предметы железные во фрагментах. Раскопки у с. Новозаведенного Георгиевского р-на Ставропольского края.,предметы археологии
5a1868bd-08cd-43ee-9a81-7b5f4f2c78a0,Фотография черно-белая. Портрет девочки.,прочие
864e65ff-8777-40f1-a221-772f5fcb5525,Бисер.,предметы археологии
16340ba9-1bc2-46c5-a8b1-c6c33ae51c79,Фотопортрет,прочие
bd6f63a1-7b51-450b-8186-6529624f3382,Бисер. Бисер желтого заглушенного стекла,предметы археологии
bfad04eb-1e22-42c2-9154-cf97d274cf9f,Фотография сепия. Женский портрет.,прочие
4249fcac-4206-4cca-b652-434782bb256a,Значок юбилейный к 150-летию Пензенского совхоз-техникума.,предметы нумизматики
a3645fe1-3e96-42b9-bb17-c211b308efab,Фотография черно-белая. Портрет Воронина Николая Николаевича.,прочие
8a0eb926-d0c7-4419-b5ba-ef684d4cfa64,"""Развитие ребенка в первые годы жизни"" В.Н. Державина",предметы печатной продукции
d5155a08-192c-4b2e-ac95-bc8def52c531,Фотография черно-белая. Портрет Модорова Федора Александровича.,прочие
d3995ffa-a87d-4155-b712-419ec67f9e97,Зеркало в  резной деревянной раме.,"предметы прикладного искусства, быта и этнографии"
d4238d15-f2ea-407e-8441-5fcd4d60895f,Образец янтаря с включением,предметы естественнонаучной коллекции
ce7f88e5-586a-4a99-ac4c-6a8f1820ddc4,Шкафчик-аптечка подвесной для хранения медикаментов.,прочие
c0fe074b-4da1-404a-ae17-8f7f00bbb96a,Жетон рекламный магазина гравировки на металле А. Фиш,предметы нумизматики
ac516755-ef9c-40ea-a475-0d066e2ba9cc,Эскиз мужских костюмов,графика
feea34a9-671e-49f5-aedd-2cf85d2b317a,Сланец горючий,предметы естественнонаучной коллекции
4706571a-5963-435f-9ab7-ca6e857ac531,Прибор геодезический универсальный,предметы техники
34cef5fd-a362-4daf-8322-b41085d7239c,"Знак агитационный. Граждане! Покупайте ""Заем свободы"". Россия",предметы нумизматики
0c6f1798-2d16-4e3c-bfa3-3fcc246d52d3,"Рукопись. Список иллюстраций к книге ""Первые русские города Сибири"".",документы
9e751d0c-f24f-4338-83e1-6bc7b8e5642b,Фотокопия. Портрет И.И. Макарова.,фотографии и негативы
5751a823-66b3-45bd-8a02-2defcf67e8ca,Венчик кругового сосуда,предметы археологии
ac0b0696-c056-4dbe-b0af-098a5a602d4e,План Новоселенгинской крепости. 1729 г. Составил Х. Шварц. Из фондов ЦГАДА. Фотография,фотографии и негативы
bbbff7fa-e5b3-48ca-ab63-71d1e824edc6,Пластина с ретушью,предметы археологии
9f0d5e68-96b6-4717-8475-6fc8f15b429d,"Шкатулка ""Семейный праздник""","предметы прикладного искусства, быта и этнографии"
13ada9ce-b1d5-426b-8c40-4d4b1eb197f9,Венчик кругового сосуда,предметы археологии
9e58af23-b12e-4e6e-a678-6e805a069949,Без названия (Абстрактная композиция),фотографии и негативы
90811c32-c2da-441e-b336-91cd2a14e557,Образец мрамора келецкого,предметы естественнонаучной коллекции
da4920a5-170f-4431-848b-bd43b009a7b6,Фотография сюжетная. Рабочий момент в бригаде Гертнера.,фотографии и негативы
0b416628-fb75-453f-9f7e-b4ed7dac4c03,Теодолит - геодозический инструмент для измерения горизонтальных и вертикальных углов,предметы техники
15df8671-0a59-4ebf-96cd-47d1efd56dbd,"Дом, в котором была явочная квартира",фотографии и негативы
dc63defb-10f2-44e3-a7bd-022c714af8a7,Книжный знак D.R. Экслибрис,графика
e2164775-ab15-4556-bd73-7cb051e2ba15,Натюрморт,фотографии и негативы
643b5fcb-570f-482b-90de-de18a84f6abe,Пластина с ретушью,предметы археологии
68fc3334-516b-43c3-b904-e9a69f9a7e63,Донце кругового сосуда,предметы археологии
b07ef31a-1895-485c-b658-f858b9d4b6bc,Нуклеус,предметы археологии
c5aa37b3-812a-425d-87a2-4d198d42771b,Фотокопия. Окаемов А.И. на встрече с детьми во Дворце пионеров.,фотографии и негативы
d74e1022-0319-4768-9c14-ff0e72ed375c,"Корка железо-марганцевая с ядром из фосфорита. Отобрана манипулятором обитаемого подводного аппарата ""Пайсис"" с вершины подводной горы в западной части Тихого океана, глубина 1500.Корка содержит до 25% Mn; до 2% Сo; до 1,5% Ni; до 2 г/м Pt. В фосфорите - до 34% P2O5 в легко усваиваемой сельскохозяйственными растениями форме",предметы естественнонаучной коллекции
6b494055-5b72-4f83-8a2a-2bbce47ea168,Стенка кругового сосуда,предметы археологии
a96ed8bb-6b42-4d7e-9273-a90740fecfcc,Въезд в усадбу. Меццо-тинто,графика
576f6b98-57f7-477c-aa19-d95980672ae0,"Открытка ""Военно -Грузинская дорога .Балта""",предметы печатной продукции
39a075c5-7014-45d9-a4de-3457806364a6,Халькозин с малахитом и кальцитом,предметы естественнонаучной коллекции
f3e94168-8f94-4d23-9554-7ff14c278009,Картина. Рыбак в безрукавке,живопись
bd9417a1-006a-4af8-a18d-04d417a3c637,Сосуд (фрагмент),предметы археологии
5d020797-eef5-4047-93c7-1cd67a52bbca,"Крышка от шкатулки ""Загудели, заиграли провода""","предметы прикладного искусства, быта и этнографии"
89fd67f1-2551-45bc-ad6e-8b3b72b2ad34,"Отечественные записки. Журнал  литературный, политический и ученый. 1880, том CCXLVIII, год сорок второй,кн.2, февраль. Редактор М.Е. Салтыков. Издатель А.А. Краевский",редкие книги
6750ec32-d1bd-455b-a330-0b4b8572b1e2,"Проект Вознесенской церкви в Тобольском кремле. Рисунок С.У. Ремезова из ""Служебной чертежной книги"". Фотография",фотографии и негативы
4f4bc0d2-6207-4f9d-8ba9-321a9954dc62,Гвоздь обойный,предметы археологии
505be4f2-9a22-4141-9a50-54c2c38062ec,Брусок точильный,предметы археологии
14131c2c-39c1-4c06-af78-8499a4283fa9,Жадеит,предметы естественнонаучной коллекции
629bd58b-4d7f-446a-a2b1-ee1c5236e8b0,"Шевич В.С. Проект руководства к преподаванию музыки ученикам и ученицам, в период времени курса средних учебных заведений [Текст] / [соч.] В.С. Шевича. - Иркутск : Тип. П.И. Макушина, 1895. - [2], 58, [2] с. Обложка издательская",редкие книги
0b9501dd-59d1-49b7-a57e-66ec39b52ea7,Эскиз декорации,графика
5ede69c5-1484-4c0d-b840-3418d5350ffa,"Этикетки спичечные, посвященные памятным Ленинским местам. (коллекция).",предметы нумизматики
1879445c-4166-492b-af3f-307264475c3e,"Значок ""Олимпиада - 1980. Велоспорт""",предметы нумизматики
3a89764d-53c0-4ffc-b35b-76ff254df0c6,"""Спор"" графический рисунок",графика
7269d404-6de9-4cc2-84b7-a472fef53b1e,Самовар угольный.,"предметы прикладного искусства, быта и этнографии"
c022e5d7-0182-425f-886c-e40c3d8b6f82,Стенка кругового сосуда,предметы археологии
f4304381-b225-4ed0-8109-3696a0a73495,Буланжерит,предметы естественнонаучной коллекции
13acf523-3931-4e42-8b0e-c4811380e308,Коляска детская,"предметы прикладного искусства, быта и этнографии"
abeaad3d-7283-4a29-9084-cdf757432ede,"Знак ""ДОСААФ СССР""",предметы нумизматики
c2fa8f80-efcf-46da-b0d6-510bfafd9a12,"Икона ""Зосима и Савватий соловецкие, с монастырём"".","предметы прикладного искусства, быта и этнографии"
709511da-ce07-4b98-b734-5776d28e0ee5,Эскиз. Костюм Полицейского,графика
42d27817-2fed-4fdf-af89-4aa0d3af84e8,Пластина.,предметы археологии
a8d56ee8-704f-46f7-bb82-43762dcb614e,Каолин,предметы естественнонаучной коллекции
8861966a-df2e-4840-a4e2-7b6909099971,Панорама города Тюмени 1770 г. С гравюры Н. Саблина. Фотография,фотографии и негативы
731bcabb-9fa4-4c3a-9148-689e74665de4,Стенка кругового сосуда,предметы археологии
b54528d6-b811-46c5-9da7-8518907cad30,Образец мрамора келецкого,предметы естественнонаучной коллекции
156dc8e7-efbf-4ee8-ace8-4b7e38fd52f5,Знак добровольных сборов. Свободная Россия - доблестной армии. Россия,предметы нумизматики
f8607a1d-1e9e-4ab3-8340-b7df18452a9a,Буссоль мензульная,предметы техники
5da9fda7-e84a-4463-9461-75c5da756821,Эскиз мужского костюма,графика
ad629136-3edc-41d8-b594-5cd5a9d3c9f5,План Нерчинска. 1735 г. Из фондов ААН. Фотография,фотографии и негативы
d2fc88f9-1e08-4541-aad8-a338693cb63b,Втулка для установки буссоли на штатив,предметы техники
5da77adb-aad5-485a-bbf4-f0ae6f4f01cf,Образец торфа,предметы естественнонаучной коллекции
bb7e7e90-4363-4277-a981-fd68d1df2877,Чаша лаковая,предметы археологии
30e4ce5c-d2b2-485d-8541-f977127abdbf,"Этикетки спичечные (коллекция), посвящены г.Ленинграду.",предметы нумизматики
c296aec0-5313-41b8-8fca-18063d022ff2,Инкерман. Домик в скале,графика
e6d6049b-21d5-49fe-b24a-eb65f0b1fc1a,"Знак агитационный. В ""Займе Свободы"" - спасение России. Россия",предметы нумизматики
3f168369-b998-4755-b750-9826d99bd484,Монета пуло тверское,предметы нумизматики
25d25032-b030-4c06-9f39-04b41fa38d8f,"""Портрет В.И. Ленина""",скульптура
72febadc-07ab-435a-b998-7fe7362878c1,Фотография групповая. Кашин И.Н. с медицинскими сестрами эвакогоспиталя №2549.,фотографии и негативы
3a4d0aa1-52fb-4dd1-8652-e38410ef2c2d,Ухо.,графика
1bd079fb-3b8d-4de8-9910-c5475491b0af,"Маска ""Син""","предметы прикладного искусства, быта и этнографии"
5c90cc13-6242-4c54-a7db-e886c5bb8fc3,Роговая обманка,предметы минералогической коллекции
1d8b4dcb-65e7-45f6-8d0b-2880c9c61ec0,"Фотография - вид г.Ставрополя. Мельзавод N 4, 1923 г.",фотографии и негативы
dc573c6b-31db-4d92-a964-01f659d0469f,Знак добровольных сборов. Солдату Революции,предметы нумизматики
5c2e7f80-309f-4e1c-9c97-c4b92f4c399a,"Монета. Деньга, 1749 г. Деньга. Правитель: Елизавета I",предметы нумизматики
93b0b884-51dc-4bd9-87db-5631b61e1893,Крест нательный,предметы археологии
cb1a00dc-62dd-46f0-9a3e-702ae74666da,Кварцевый песок,предметы естественнонаучной коллекции
37350e61-8413-452c-9ec8-f7879ae0bf33,Монета. 1евроцент. 1 лепто. 2009 г. Греция. 1 евроцент. Греция,предметы нумизматики
2f75af84-4d8e-4e72-a064-be4504bd23e3,Венчик кругового сосуда,предметы археологии
fa2c5a04-5bf3-4d9d-a948-7a4c96ff2878,Сломленный ствол березы и ель.,графика
566d0e8f-679c-495c-b094-2838a790f1a2,Панорама Новой Мангазеи. 1739 г. С рисунка И. Люрсениуса. Фотография,фотографии и негативы
80e1de82-87df-4bd6-ae03-0dbf7c5e497e,Эскиз. Костюм Муромского.,графика
c294057b-95cf-4daf-bc13-8f2ef6cad518,Отщеп.,предметы археологии
25c794d0-7c53-4792-b2d3-faff3eac7c52,Образец ситца набивного,"предметы прикладного искусства, быта и этнографии"
b7d58ffa-6643-4613-9bd1-e9b4198baecf,"Грампластинка 60-х - 70-х гг. ""Милая мама"" - муз.А.Аверкина. ""В свободный час"" - О.Фельцман.",прочие
c11b853b-6be5-425f-87e6-98d48ecbd95e,"Либретто оперы ""Дарвазское ущелье"" Я.М. Галицкого и Л.Б. Степанова с пометами, правкой, резолюцией и подписью В.Э. Мейерхольда. Посмертная постановка К.С. Станиславского совместно с И.М. Тумановым и М.Л. Мельтцер. Сезон 1938-1939. Государственный оперный театр им. К.С. Станиславского. ""Дарвазское ущелье"". Москва, Государственный оперный театр имени К. С. Станиславского",документы
8df5ae31-b73f-46b2-95cc-f5d53571f50e,"Стена. Архиерейский двор (Кремль). 1670-е гг. Ярославская обл. г.Ростов. Архиерейский дом (Кремль). Стена. Часть стены у Круглой юго-западн. башни. Трещины между башней и стеной, и слева в кладке стены.",фотографии и негативы
007c10ea-3c39-45fd-8239-1254633d0382,Штора на окно.,"предметы прикладного искусства, быта и этнографии"
df67bc06-7eb6-4be2-92ea-5ee176d3f51a,Футляр. Футляр к киноаппарату Красногорск-3,предметы техники
16c07374-db02-4dd2-829b-be8091c22c7b,"Студенческий городок. Дом Комунна, ул. Донская. 1930г. Москва. Студенческий дом-коммуна. Николаев Иван Сергеевич. Вид внутреннего двора. Фрагмент здания.",фотографии и негативы
3eb05d2d-bfea-4c41-9b4b-f9025578afac,"Церковь Спаса на Торгу. 1654 г.; 1685-1690 гг., перестройка 1861-1868 гг. Ярославская обл. г. Ростов. ц. Спаса на Торгу (Ружного). Колокольня и часть западного фасада.",фотографии и негативы
c86f1fe4-4d98-46cf-a3b1-5e1940c368cf,Фотография групповая. Профессор Поляк Борис Львович среди слушателей ВАК,фотографии и негативы
f69146af-772d-44ba-9fce-374a567258db,"Монета. Римская империя. Максимиан I, антониниан",предметы нумизматики
97bcc007-ef3b-4eb2-bc4e-49dff9fe6a33,Иуда.,графика
03cf1acf-e3bd-4459-a046-95cbfa316e58,"Газета. ""Боевая тревога"" №60 (454) от 9 марта 1942 года.",предметы печатной продукции
6587ed3d-cba7-462d-95ce-377345f9ef59,"Рисунки и акварели, выполненные в Средней Азии. 1942-1943 гг. ""Самарканд. Мечеть Биби-Ханым"".",графика
62b9dcba-e536-4250-8731-92e67b5fa0c8,Календарь на ткани,"предметы прикладного искусства, быта и этнографии"
443b4745-c909-4c33-902b-8f3d1e9e3b4c,Зеркало,"предметы прикладного искусства, быта и этнографии"
1121f8f5-e0fc-4358-9334-a9da09ef30c8,Кружка    большая,"предметы прикладного искусства, быта и этнографии"
2703e4e5-be1d-4b14-8c37-0880123389e3,Нуклеус клиновидный,предметы археологии
109ea04a-36a7-423d-a904-dfaab8952b9e,"Бон "" CENT RIELS""",прочие
71f2b15c-4ac6-493c-9b3a-7a15839832f6,Трапезная. Болдин-Троицкий монастырь. 16-19 вв. кон. 16 - 17 вв. Смоленская обл. Болдин монастырь. Трапезная. Западный фасад,фотографии и негативы
0a157b7e-0f79-4937-bffd-5922d0f98daf,Книга. Многотомное руководство по дерматовенерологии. Том III. Кожные болезни,предметы печатной продукции
a93eb890-0cb0-4f39-8086-b4525f471b70,Зебры,графика
a121c02e-2778-46f0-b45a-ae9d187733f6,"Книга. Пермская летопись с 1263 - 1881 г.: Четвертый период, с 1676 - 1682 г./ сост. В. Шишонко. – Пермь: Тип. губ. зем. управы, 1884.",редкие книги
3c2025a6-fea5-4a87-8a2c-78479e208fa8,"Грампластинка. ""Барыня"". ""Волжская кадриль"".","предметы прикладного искусства, быта и этнографии"
05249f97-4884-45aa-b05f-c9df89ee8db2,Письмо. Письмо Штейнпрессу Б. С.,документы
9e5ebd58-2237-40ab-a8fe-78c09b2362a9,"Рамка-вкладыш. Из фотоувеличителя ""Беларусь - 2"" с комплектом принадлежностей. БелОМО. Жлобинское производство. г. Жлобин Гомельской области. Беларусская ССР. 1980-е годы.",прочие
c67a927e-ae7e-4d5d-9383-a2ccf8814282,"Книга. Руководство по организации и работе военно-санитарных поездов,с автографом генерал-лейтенанта м/с А.С.Георгиевского",предметы печатной продукции
ff742da4-dd9a-4a6f-87c5-b311949d5933,Крупка перелесковая Draba nemorosa L.,предметы естественнонаучной коллекции
8fb263d7-0b9d-48a4-9300-8549a5bcf20e,Государственный кредитный билет,предметы нумизматики
cca4fe8d-9516-45bf-aa77-fc189f237005,Клаусия солнцевидная Clausia (Helperis) aprica Poir.,предметы естественнонаучной коллекции
0a37c881-d18e-46e5-9621-9105641528fe,"Сырье минеральное ""Кристалл фиолетового кварца""",предметы минералогической коллекции
917a0c7a-d228-43da-8e96-8e4efaf159e8,Псково-Печерский монастырь. Псково-Печерский монастырь. Фрагмент башни и крепостной стены. Съемка до реставрации.,фотографии и негативы
b585a426-a173-4dd7-b81a-6dc8af13de6a,"Афиша. Пермский академический театр оперы и балета имени П. И. Чайковского. С. Прокофьев. ""Золушка"". Балет в 3-х действиях. Хореография и постановка Народного артиста СССР, лауреата Государственной премии России, лауреата международных премий Олеге Виноградова.",предметы печатной продукции
0f6cab7b-30c1-47bb-b4c3-cf29f85fadda,Фотокопия. Приютов Василий Петрович. 2 снимка: анфас и профиль.,фотографии и негативы
b5dfaad3-e5e4-4a28-b40a-c8862b544b16,"Монета, номинал - 2 SANTTMI, 1992 г., Латвия",предметы нумизматики
04fe63f6-d062-4b00-9bcc-81527434cdc8,Почтовая открытка заключенного I поля 11 блока. Почтовая открытка,предметы печатной продукции
2f1b2c2a-22c2-4c44-b8a2-6336ed9d6330,Жетон треугольной формы «8.4/7»,предметы техники
0b609f94-279b-4058-a1a4-4dbe2e118b91,Монета. Римская империя. Дом Константина,предметы нумизматики
3c062e5a-7bf4-4a94-8b13-a9bf41a39d6d,Клеммы для салфеток,предметы техники
f4b263b5-1652-4863-8704-6b90573574ce,Документ. Грамота № 86 Ленинградского городского комитета ДОСААФ на имя Казакова А.И. за активное участие в военно-массовой работе.,документы
2e46abd4-ba16-464d-995d-dabe1d6d0d32,"Негатив. Сцена из спектакля. ""Фархад и Ширин"" (Пост. Жураев А., худ. Есипов М.). Узбекистан, Самарканд. Государственный театр музыкальной драмы и комедии",документы
3bc831b4-cb1f-4f55-bf68-833260657a69,"Рисунки 1920-х гг. ""Женщины с детьми"".",графика
a45e5062-da91-473e-98dc-eb8d080de783,Жетон треугольной формы «5-В»,предметы техники
a3457c37-b224-4e89-928b-dc19245e0ba0,"Негатив. Сцена из спектакля. ""Мирандолина"" (Пост. - Перкун Г., худ. - Мордохович Д.). Молдавия, Молдавский театр оперы, балета и драмы им. А.С. Пушкина",документы
5e1d17a5-7b7a-4646-ab8a-4bc8be3f9801,"Письма от З.М. Приймак, И. Приймака Синеокому И.А. за 1969-1970, 1972 гг., г. Рязань.",документы
8d76cfac-7aea-4c15-868e-6f5216345709,"Негатив. Сцена. Джепаридзе М.В. в роли Маринэ (Стрекоза). Тбилели М.С. в роли Маринэ. ""Маринэ"" (Постановщики Чхартишвили А. и Шатберашвили Л., художник Ахвледиани Е.). Грузия, Тбилисский драматический театр им. К.А. Марджанишвили",документы
34bba89c-3cb7-41ab-85c2-1034dfcee1d3,Фотография,фотографии и негативы
00cbcd60-35d0-4a40-a4ce-90412b81f382,Гравюра. Вид замка и парка в Бандельберге.,графика
1a9f5602-a246-4267-b752-723d7bef41bc,"Письма от Юрчука С.П. Синеокому И.А. за 1967-1973 гг., г. Москва.",документы
e0df3e28-a248-414b-960c-b60181d905e9,"Звонница Успенского собора. Архиерейский двор (Кремль). Соборная пл. 1682-1689 гг. Ярославская обл. г. Ростов. Звонница Успенского соб. Часть западного фасада, Слева угол Успенского соб.",фотографии и негативы
ccd8f8ba-0acb-4943-afcc-22383de89ce5,Вазочка-креманка.,"предметы прикладного искусства, быта и этнографии"
5bc86891-a3d8-45e6-aa16-6f5879ee402e,Монета. Римская империя. Дом Константина. Констанций Галл,предметы нумизматики
2c9ed584-7faf-4c79-b6e2-a8423f2482de,Бумажный денежный знак. Обязательство РСФСР. Из коллекции Афанасьева А.П. 1000000 рублей. РСФСР,предметы печатной продукции
c21ed842-ba3a-4310-86c6-ce329c6053aa,"Программа спектакля ""Анфиса"" Бежецкого музыкально-литературно-драматического кружка. Россия. Тверская губерния. г. Бежецк.",предметы печатной продукции
dcb2c2e0-235d-4b87-96ee-9028005fbc78,"""Беги от ада"" .",графика
c71f690a-be72-4379-9ce5-11d3a614a0f5,«Икар». (Ангел).1997.,живопись
f2289dd0-53c9-4002-b6be-ec64d7c2e65c,"Книга. Мой Пушкин: Рисунки и декоративно-прикладное творчество юных художников. Выпуск 2. Каталог. /Администрация Одинцовского района, Администрация Захаровского сельского округа, Центр детского творчества ""Пушкинская школа"" и др./ . - Захарово, 2004.",редкие книги
8dadbe36-d7e4-4e38-b14b-cd0026669a06,"Журнал ""Военная быль"". - № 114. Январь1972 г. 48 с.",предметы печатной продукции
0f505c36-f17c-4624-aeae-d3b8adbcd5e5,Модель автомобиля масштабная в коробке. Альфа Ромео-Джулия,"предметы прикладного искусства, быта и этнографии"
24331a36-1e6c-4f1b-ac3d-8dd393c0f22a,"Эскиз обложки театральной программки (?) к опере ""Евгений Онегин"".",графика
2d59ea51-d3c6-4590-b329-aa2192a4867f,"Блюдо. ""Зарайский Кремль"".","предметы прикладного искусства, быта и этнографии"
8ce4b4c1-e3ef-440a-aa3f-353a0f7493df,Билет государственный казначейский 5 рублей,предметы нумизматики
209ccad4-04b1-42b3-b418-0cd4de57d17a,"Открытка почтовая. Торжок.-torjok. N11. Преображенский собор, вдали - Борисоглебский монастырь",предметы печатной продукции
a1ab7484-84c5-441b-a0c4-76483afc9a8c,Государственный кредитный билет,предметы нумизматики
f15f5c91-1b24-43b1-b877-167609c58aa2,Монета. Римская империя. Дом Константина. Крисп,предметы нумизматики
3c64bdfd-725c-40b0-83cf-a133db613b9e,Кожаный тутор для коленного сустава,предметы техники
02fe5e56-c7ea-4a10-83a0-a315f0fda03a,"Негатив. Сцена, акт I. Русинов И.Н. в роли Чацкого. Загорский А.В. в роли Фамусова. ""Горе от ума"" (Постановщики Такайшвили А.А., художник Штенберг И.В.). Грузия, Тбилисский государственный русский драматический театр им. А.С. Грибоедова",документы
b672624c-49c6-4281-ad73-2ff19c49edd9,"Главный дом. Усадьба Красное, кон. 18 в. Рязанская обл. ус. Красное. Главный дом. Общий вид.",фотографии и негативы
e7adf481-fc43-4e23-84b3-f6095171c4b2,Ложка глазная острая средняя № 1. Модель 329,предметы техники
d4b14141-99c1-48e3-a411-3d6df8d45517,"Образец ткани. Альбом с образцами тканей, изготавливавшихся на 1-ой московкой ситцевой фабрике Э. Цинделя. ""Сточеные рисунки №6"". Кол-во стр. 79; кол-во образцов - 1209.","предметы прикладного искусства, быта и этнографии"
590e8c1d-b386-4b7a-b836-62e093fb202c,Институт проектирования городского строительства. Литва. г.Вильнюс. Институт проектирования городского строительства. Хломаускас Э. Общий вид.,фотографии и негативы
abbda7ea-2525-42af-ba48-7d03154fcb18,"Значок. ""Победитель соцсоревнования"" Кипнис Л.М.","предметы прикладного искусства, быта и этнографии"
881c82f8-6926-47af-94cc-d19a1ef181d8,"Воскресенский монастырь. Ярославская обл. г. Углич. Воскресенский мон. Слева направо: Воскресенский соб., звонница с церковью Марии Египетской, ц. Одигитрии. 1674-77 гг. Вид с запада.",фотографии и негативы
0a8a8620-a058-4796-8866-a905ff29a309,"Грампластинка 60-х - 70-х гг. ""Московские окна"" , ""Песенка Глории"" - И.Бржевская.",прочие
ddfc27d5-c2a1-46fd-8ff1-ad0660c55c89,Бумажный денежный знак. Расчетный знак РСФСР образца 1919 г. Из коллекции Афанасьева А.П. 100 рублей. РСФСР,предметы печатной продукции
99262cc6-e0a6-431d-bfe5-3d909c778bb9,Бусина.,предметы археологии
6d42df7f-38b1-4bef-bbf7-35943d5db2a9,Экслибрис Н.А. Бакс,графика
b3165852-6995-4350-8ca3-613eb9d2d4cd,Монета 5 грошей 1966г. Австрия.,предметы нумизматики
794e558d-bc6a-4f7f-9d6f-7aee4019dca1,Монета. Римская империя. Гета,предметы нумизматики
66b66099-9b6a-47ec-9f9c-5960bf22f390,Фотокопия. Слепцов Михаил Федорович и его жена Ульяна Слободчикова.,фотографии и негативы
0849c407-ac22-4804-b2e7-693efc8db808,"Негатив. Ашуров Т. в роли Шофура, Садыков Э. в роли Фархада. ""Фархад и Ширин"" (Пост. Жураев А., худ. Есипов М.). Узбекистан, Самарканд. Государственный театр музыкальной драмы и комедии",документы
578fb97c-944c-47f5-a384-3ec2fa6f2707,"Мензурка медицинская, принадлежавшая бывшей медсестре эвакогоспиталя № 2234 Лидии Николаевне Смарговой (Зиновьевой ) 1941-1945 г.",предметы техники
12295a91-62f1-4126-81cd-c7a70b6dbd18,"Негатив. Шепелева в роли Марии, Джабаров в роли Вацлава. ""Бахчисарайский фонтан"" (Пост. - Проценко, худ. - Захаров.). Таджикистан, Душанбе",документы
8b4fb6ab-1f30-4b90-a849-077659ad752e,Тушка. Стриж белопоясничный,предметы естественнонаучной коллекции
bb29cb79-c7fb-4cf9-81d5-201680965776,Грамота почетная к 25-летию противочумной  станции.,документы
764249b9-cb28-4cde-a071-353a6d422507,"«О ликвидации «человечества»(По поводу романа «Война с саламандрами» Карела Чапека)».
Статья. 
Верстка.",документы
6d47ef80-f3da-4a8e-8147-de4e72536b21,Рисунок  «Инвалидный дом».,графика
49357e1d-4d62-4156-8f95-e4a46cae5182,"Газета «Красное Прикамье»  №108(2946) от 15.05.1930 г., 2 л. Рабочее издание.",редкие книги
f1426b3c-2bc5-43f5-a9b4-9cb47685426a,Диплом лауреата I премии XI Международного конкурса им. П.И. Чайковского (бланк).,предметы печатной продукции
